RECIPE NAME,RECIPE CODE,CATEGORY,RESTAURANT,FINAL PRICE,MERIDES,HIDE FROM APP,RECIPE INGREDIENTS,RECIPE COST,RECIPE COST composite,RECIPE COST / MERIDES,VAT,VAT 13%,VAT 13% composite,TOTAL,TOTAL/MERIDA,TOTAL / MERIDA composite,x3,x4,INGREDIENTS,OIK104 MENU INGREDIENTS,OIK104 MENU INGREDIENTS copy,OIK104 MENU INGREDIENTS copy,OIK512 MENU_,COMMON OR REMOVE (from OIK512 MENU_),OIK104 MENU INGREDIENTS copy,OIK104 MENU INGREDIENTS copy
ΖΥΜΗ ΠΙΤΣΑΣ 54 ΜΕΡΙΔΕΣ,,ΕΝΔΙΑΜΕΣΑ,"OIK104,OIK512",,54,,"ΖΥΜΗ ΠΙΤΣΑΣ 54 ΜΕΡΙΔΕΣ,ΖΥΜΗ ΠΙΤΣΑΣ 54 ΜΕΡΙΔΕΣ,ΖΥΜΗ ΠΙΤΣΑΣ 54 ΜΕΡΙΔΕΣ,ΖΥΜΗ ΠΙΤΣΑΣ 54 ΜΕΡΙΔΕΣ,ΖΥΜΗ ΠΙΤΣΑΣ 54 ΜΕΡΙΔΕΣ,ΖΥΜΗ ΠΙΤΣΑΣ 54 ΜΕΡΙΔΕΣ,ΖΥΜΗ ΠΙΤΣΑΣ 54 ΜΕΡΙΔΕΣ,ΖΥΜΗ ΠΙΤΣΑΣ 54 ΜΕΡΙΔΕΣ,ΖΥΜΗ ΠΙΤΣΑΣ 54 ΜΕΡΙΔΕΣ","21,27","21,27","0,39",13,"2,77","2,77","24,03","0,45","0,45","1,34","1,78",ΖΥΜΗ ΠΙΤΣΑΣ 54 ΜΕΡΙΔΕΣ,,,,,,"ΖΥΜΗ ΠΙΤΣΑΣ 54 ΜΕΡΙΔΕΣ, ΖΥΜΗ ΠΙΤΣΑΣ 54 ΜΕΡΙΔΕΣ, ΖΥΜΗ ΠΙΤΣΑΣ 54 ΜΕΡΙΔΕΣ, ΖΥΜΗ ΠΙΤΣΑΣ 54 ΜΕΡΙΔΕΣ, ΖΥΜΗ ΠΙΤΣΑΣ 54 ΜΕΡΙΔΕΣ, ΖΥΜΗ ΠΙΤΣΑΣ 54 ΜΕΡΙΔΕΣ, ΖΥΜΗ ΠΙΤΣΑΣ 54 ΜΕΡΙΔΕΣ, ΖΥΜΗ ΠΙΤΣΑΣ 54 ΜΕΡΙΔΕΣ, ΖΥΜΗ ΠΙΤΣΑΣ 54 ΜΕΡΙΔΕΣ",
ΚΑΛΑΜΑΡΙ ΨΗΤΟ,,ΨΑΡΙΑ ΘΑΛΑΣΣΙΝΑ ΣΤΑ ΚΑΡΒΟΥΝΑ,OIK104,"€17,0",1,,"ΚΑΛΑΜΑΡΙ ΨΗΤΟ,ΚΑΛΑΜΑΡΙ ΨΗΤΟ,ΚΑΛΑΜΑΡΙ ΨΗΤΟ","5,02","5,02","5,02",13,"0,65","0,65","5,67","5,67","5,67","17,02","22,70",,,,,ΚΑΛΑΜΑΡΙ ΨΗΤΟ,,"ΚΑΛΑΜΑΡΙ ΨΗΤΟ, ΚΑΛΑΜΑΡΙ ΨΗΤΟ, ΚΑΛΑΜΑΡΙ ΨΗΤΟ",
ΚΑΛΑΜΠΟΚΙ ΜΕ ΚΟΤΟΠΟΥΛΟ,,ΤΥΛΙΧΤΗ ΠΙΤΑ,OIK512,,1,,"ΚΑΛΑΜΠΟΚΙ ΜΕ ΚΟΤΟΠΟΥΛΟ,ΚΑΛΑΜΠΟΚΙ ΜΕ ΚΟΤΟΠΟΥΛΟ,ΚΑΛΑΜΠΟΚΙ ΜΕ ΚΟΤΟΠΟΥΛΟ,ΚΑΛΑΜΠΟΚΙ ΜΕ ΚΟΤΟΠΟΥΛΟ,ΚΑΛΑΜΠΟΚΙ ΜΕ ΚΟΤΟΠΟΥΛΟ,ΚΑΛΑΜΠΟΚΙ ΜΕ ΚΟΤΟΠΟΥΛΟ","0,71","0,95","0,95",13,"0,09","0,12","1,08","0,80","1,08","3,23","4,31",,,,,,,,
ΚΑΛΟΚΑΙΡΙΝΗ ΑΝΑΜΕΙΚΤΗ,,ΣΑΛΑΤΕΣ,OIK104,"€7,5",1,,"ΚΑΛΟΚΑΙΡΙΝΗ ΑΝΑΜΕΙΚΤΗ,ΚΑΛΟΚΑΙΡΙΝΗ ΑΝΑΜΕΙΚΤΗ,ΚΑΛΟΚΑΙΡΙΝΗ ΑΝΑΜΕΙΚΤΗ,ΚΑΛΟΚΑΙΡΙΝΗ ΑΝΑΜΕΙΚΤΗ,ΚΑΛΟΚΑΙΡΙΝΗ ΑΝΑΜΕΙΚΤΗ","0,08","0,08","0,08",13,"0,01","0,01","0,09","0,09","0,09","0,26","0,35",,,,,ΚΑΛΟΚΑΙΡΙΝΗ ΑΝΑΜΕΙΚΤΗ,,"ΚΑΛΟΚΑΙΡΙΝΗ ΑΝΑΜΕΙΚΤΗ, ΚΑΛΟΚΑΙΡΙΝΗ ΑΝΑΜΕΙΚΤΗ, ΚΑΛΟΚΑΙΡΙΝΗ ΑΝΑΜΕΙΚΤΗ, ΚΑΛΟΚΑΙΡΙΝΗ ΑΝΑΜΕΙΚΤΗ, ΚΑΛΟΚΑΙΡΙΝΗ ΑΝΑΜΕΙΚΤΗ",
ΚΑΛΤΣΟΝΕ ΝΟΥΤΕΛΑ,,ΠΙΤΣΑ,OIK512,,1,,"ΚΑΛΤΣΟΝΕ ΝΟΥΤΕΛΑ,ΚΑΛΤΣΟΝΕ ΝΟΥΤΕΛΑ,ΚΑΛΤΣΟΝΕ ΝΟΥΤΕΛΑ,ΚΑΛΤΣΟΝΕ ΝΟΥΤΕΛΑ","0,76","0,89","0,89",13,"0,10","0,12","1,00","0,86","1,00","3,01","4,01",,,,,,,,
ΚΕΦΑΛΟΓΡΑΒΙΕΡΑ,,ΤΥΡΙΑ,OIK104,,1,,ΚΕΦΑΛΟΓΡΑΒΙΕΡΑ,"0,00","0,00","0,00",13,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",,,,,ΚΕΦΑΛΟΓΡΑΒΙΕΡΑ,,ΚΕΦΑΛΟΓΡΑΒΙΕΡΑ,
ΚΕΦΑΛΟΓΡΑΒΙΕΡΑ ΣΑΓΑΝΑΚΙ,,ΟΡΕΚΤΙΚΑ,OIK104,,1,,"ΚΕΦΑΛΟΓΡΑΒΙΕΡΑ ΣΑΓΑΝΑΚΙ,ΚΕΦΑΛΟΓΡΑΒΙΕΡΑ ΣΑΓΑΝΑΚΙ,ΚΕΦΑΛΟΓΡΑΒΙΕΡΑ ΣΑΓΑΝΑΚΙ,ΚΕΦΑΛΟΓΡΑΒΙΕΡΑ ΣΑΓΑΝΑΚΙ,ΚΕΦΑΛΟΓΡΑΒΙΕΡΑ ΣΑΓΑΝΑΚΙ,ΚΕΦΑΛΟΓΡΑΒΙΕΡΑ ΣΑΓΑΝΑΚΙ","2,02","2,02","2,02",13,"0,26","0,26","2,28","2,28","2,28","6,84","9,13",,,,,ΚΕΦΑΛΟΓΡΑΒΙΕΡΑ ΣΑΓΑΝΑΚΙ,,"ΚΕΦΑΛΟΓΡΑΒΙΕΡΑ ΣΑΓΑΝΑΚΙ, ΚΕΦΑΛΟΓΡΑΒΙΕΡΑ ΣΑΓΑΝΑΚΙ, ΚΕΦΑΛΟΓΡΑΒΙΕΡΑ ΣΑΓΑΝΑΚΙ, ΚΕΦΑΛΟΓΡΑΒΙΕΡΑ ΣΑΓΑΝΑΚΙ, ΚΕΦΑΛΟΓΡΑΒΙΕΡΑ ΣΑΓΑΝΑΚΙ, ΚΕΦΑΛΟΓΡΑΒΙΕΡΑ ΣΑΓΑΝΑΚΙ",
ΚΙΜΑΣ 1 ΚΙΛΟΥ,,ΕΝΔΙΑΜΕΣΑ,OIK104,,1,,"ΚΙΜΑΣ 1 ΚΙΛΟΥ,ΚΙΜΑΣ 1 ΚΙΛΟΥ,ΚΙΜΑΣ 1 ΚΙΛΟΥ,ΚΙΜΑΣ 1 ΚΙΛΟΥ,ΚΙΜΑΣ 1 ΚΙΛΟΥ","8,09","8,09","8,09",13,"1,05","1,05","9,14","9,14","9,14","27,42","36,56",ΚΙΜΑΣ 1 ΚΙΛΟΥ,,,,ΚΙΜΑΣ 1 ΚΙΛΟΥ,,"ΚΙΜΑΣ 1 ΚΙΛΟΥ, ΚΙΜΑΣ 1 ΚΙΛΟΥ, ΚΙΜΑΣ 1 ΚΙΛΟΥ, ΚΙΜΑΣ 1 ΚΙΛΟΥ, ΚΙΜΑΣ 1 ΚΙΛΟΥ",
ΚΛΑΜΠ ΣΑΝΤΟΥΙΤΣ ΚΛΑΣΙΚΟ,,ΣΝΑΚΣ,OIK512,,1,,"ΚΛΑΜΠ ΣΑΝΤΟΥΙΤΣ ΚΛΑΣΙΚΟ,ΚΛΑΜΠ ΣΑΝΤΟΥΙΤΣ ΚΛΑΣΙΚΟ,ΚΛΑΜΠ ΣΑΝΤΟΥΙΤΣ ΚΛΑΣΙΚΟ,ΚΛΑΜΠ ΣΑΝΤΟΥΙΤΣ ΚΛΑΣΙΚΟ,ΚΛΑΜΠ ΣΑΝΤΟΥΙΤΣ ΚΛΑΣΙΚΟ,ΚΛΑΜΠ ΣΑΝΤΟΥΙΤΣ ΚΛΑΣΙΚΟ,ΚΛΑΜΠ ΣΑΝΤΟΥΙΤΣ ΚΛΑΣΙΚΟ,ΚΛΑΜΠ ΣΑΝΤΟΥΙΤΣ ΚΛΑΣΙΚΟ","0,51","0,80","0,80",13,"0,07","0,10","0,90","0,58","0,90","2,71","3,62",,,,,,,,
ΚΛΑΜΠ ΣΑΝΤΟΥΙΤΣ ΠΙΤΑ ΓΥΡΟΣ,,ΣΝΑΚΣ,OIK512,,1,,"ΚΛΑΜΠ ΣΑΝΤΟΥΙΤΣ ΠΙΤΑ ΓΥΡΟΣ,ΚΛΑΜΠ ΣΑΝΤΟΥΙΤΣ ΠΙΤΑ ΓΥΡΟΣ,ΚΛΑΜΠ ΣΑΝΤΟΥΙΤΣ ΠΙΤΑ ΓΥΡΟΣ,ΚΛΑΜΠ ΣΑΝΤΟΥΙΤΣ ΠΙΤΑ ΓΥΡΟΣ,ΚΛΑΜΠ ΣΑΝΤΟΥΙΤΣ ΠΙΤΑ ΓΥΡΟΣ,ΚΛΑΜΠ ΣΑΝΤΟΥΙΤΣ ΠΙΤΑ ΓΥΡΟΣ,ΚΛΑΜΠ ΣΑΝΤΟΥΙΤΣ ΠΙΤΑ ΓΥΡΟΣ,ΚΛΑΜΠ ΣΑΝΤΟΥΙΤΣ ΠΙΤΑ ΓΥΡΟΣ","1,70","2,05","2,05",13,"0,22","0,27","2,32","1,92","2,32","6,95","9,27",,,,,,,,
ΚΛΑΣΙΚΟ ΜΕ ΧΟΙΡΙΝΟ,,ΤΥΛΙΧΤΗ ΠΙΤΑ,OIK512,,1,,"ΚΛΑΣΙΚΟ ΜΕ ΧΟΙΡΙΝΟ,ΚΛΑΣΙΚΟ ΜΕ ΧΟΙΡΙΝΟ,ΚΛΑΣΙΚΟ ΜΕ ΧΟΙΡΙΝΟ,ΚΛΑΣΙΚΟ ΜΕ ΧΟΙΡΙΝΟ,ΚΛΑΣΙΚΟ ΜΕ ΧΟΙΡΙΝΟ,ΚΛΑΣΙΚΟ ΜΕ ΧΟΙΡΙΝΟ","0,77","1,05","1,05",13,"0,10","0,14","1,19","0,87","1,19","3,57","4,76",,,,,,,,
ΚΟΛΟΚΥΘΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ,,ΟΡΕΚΤΙΚΑ,OIK104,"€0,0",8,,"ΚΟΛΟΚΥΘΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ,ΚΟΛΟΚΥΘΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ,ΚΟΛΟΚΥΘΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ,ΚΟΛΟΚΥΘΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ,ΚΟΛΟΚΥΘΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ,ΚΟΛΟΚΥΘΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ,ΚΟΛΟΚΥΘΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ,ΚΟΛΟΚΥΘΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ,ΚΟΛΟΚΥΘΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ,ΚΟΛΟΚΥΘΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ","14,99","15,23","1,90",13,"1,95","1,98","17,21","2,12","2,15","6,45","8,61",,,,,ΚΟΛΟΚΥΘΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ,,"ΚΟΛΟΚΥΘΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ, ΚΟΛΟΚΥΘΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ, ΚΟΛΟΚΥΘΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ, ΚΟΛΟΚΥΘΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ, ΚΟΛΟΚΥΘΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ, ΚΟΛΟΚΥΘΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ, ΚΟΛΟΚΥΘΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ, ΚΟΛΟΚΥΘΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ, ΚΟΛΟΚΥΘΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ, ΚΟΛΟΚΥΘΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ",
ΚΟΤΟΠΙΤΑ 8ΜΕΡΙΔΕΣ,,ΟΡΕΚΤΙΚΑ,OIK104,"€7,0",8,,"ΚΟΤΟΠΙΤΑ 8ΜΕΡΙΔΕΣ,ΚΟΤΟΠΙΤΑ 8ΜΕΡΙΔΕΣ,ΚΟΤΟΠΙΤΑ 8ΜΕΡΙΔΕΣ,ΚΟΤΟΠΙΤΑ 8ΜΕΡΙΔΕΣ,ΚΟΤΟΠΙΤΑ 8ΜΕΡΙΔΕΣ,ΚΟΤΟΠΙΤΑ 8ΜΕΡΙΔΕΣ,ΚΟΤΟΠΙΤΑ 8ΜΕΡΙΔΕΣ","5,28","5,89","0,74",13,"0,69","0,77","6,65","0,75","0,83","2,50","3,33",,,,,,,"ΚΟΤΟΠΙΤΑ 8ΜΕΡΙΔΕΣ, ΚΟΤΟΠΙΤΑ 8ΜΕΡΙΔΕΣ, ΚΟΤΟΠΙΤΑ 8ΜΕΡΙΔΕΣ, ΚΟΤΟΠΙΤΑ 8ΜΕΡΙΔΕΣ, ΚΟΤΟΠΙΤΑ 8ΜΕΡΙΔΕΣ, ΚΟΤΟΠΙΤΑ 8ΜΕΡΙΔΕΣ, ΚΟΤΟΠΙΤΑ 8ΜΕΡΙΔΕΣ",
ΚΟΤΟΠΟΥΛΟ ΚΟΝΤΟΣΟΥΒΛΙ,,ΚΡΕΑΤΙΚΑ ΣΤΑ ΚΑΡΒΟΥΝΑ,OIK104,"€11,0",1,,"ΚΟΤΟΠΟΥΛΟ ΚΟΝΤΟΣΟΥΒΛΙ,ΚΟΤΟΠΟΥΛΟ ΚΟΝΤΟΣΟΥΒΛΙ,ΚΟΤΟΠΟΥΛΟ ΚΟΝΤΟΣΟΥΒΛΙ","1,35","1,35","1,35",13,"0,18","0,18","1,53","1,53","1,53","4,58","6,10",,,,,ΚΟΤΟΠΟΥΛΟ ΚΟΝΤΟΣΟΥΒΛΙ,,"ΚΟΤΟΠΟΥΛΟ ΚΟΝΤΟΣΟΥΒΛΙ, ΚΟΤΟΠΟΥΛΟ ΚΟΝΤΟΣΟΥΒΛΙ, ΚΟΤΟΠΟΥΛΟ ΚΟΝΤΟΣΟΥΒΛΙ",
ΚΡΕΜΑ ΛΕΥΚΟΥ ΤΑΡΑΜΑ 4 MΕΡΙΔΕΣ,,ΟΡΕΚΤΙΚΑ,OIK104,"€6,5",4,,"ΚΡΕΜΑ ΛΕΥΚΟΥ ΤΑΡΑΜΑ 4 MΕΡΙΔΕΣ,ΚΡΕΜΑ ΛΕΥΚΟΥ ΤΑΡΑΜΑ 4 MΕΡΙΔΕΣ,ΚΡΕΜΑ ΛΕΥΚΟΥ ΤΑΡΑΜΑ 4 MΕΡΙΔΕΣ,ΚΡΕΜΑ ΛΕΥΚΟΥ ΤΑΡΑΜΑ 4 MΕΡΙΔΕΣ,ΚΡΕΜΑ ΛΕΥΚΟΥ ΤΑΡΑΜΑ 4 MΕΡΙΔΕΣ,ΚΡΕΜΑ ΛΕΥΚΟΥ ΤΑΡΑΜΑ 4 MΕΡΙΔΕΣ","3,42","3,42","0,85",13,"0,44","0,44","3,86","0,96","0,96","2,89","3,86",,,,,ΚΡΕΜΑ ΛΕΥΚΟΥ ΤΑΡΑΜΑ 4 MΕΡΙΔΕΣ,,"ΚΡΕΜΑ ΛΕΥΚΟΥ ΤΑΡΑΜΑ 4 MΕΡΙΔΕΣ, ΚΡΕΜΑ ΛΕΥΚΟΥ ΤΑΡΑΜΑ 4 MΕΡΙΔΕΣ, ΚΡΕΜΑ ΛΕΥΚΟΥ ΤΑΡΑΜΑ 4 MΕΡΙΔΕΣ, ΚΡΕΜΑ ΛΕΥΚΟΥ ΤΑΡΑΜΑ 4 MΕΡΙΔΕΣ, ΚΡΕΜΑ ΛΕΥΚΟΥ ΤΑΡΑΜΑ 4 MΕΡΙΔΕΣ, ΚΡΕΜΑ ΛΕΥΚΟΥ ΤΑΡΑΜΑ 4 MΕΡΙΔΕΣ",
ΚΡΕΠΑ,,ΕΝΔΙΑΜΕΣΑ,OIK512,,13,,"ΚΡΕΠΑ,ΚΡΕΠΑ,ΚΡΕΠΑ,ΚΡΕΠΑ,ΚΡΕΠΑ,ΚΡΕΠΑ,ΚΡΕΠΑ,ΚΡΕΠΑ","3,06","3,06","0,24",13,"0,40","0,40","3,46","0,27","0,27","0,80","1,06",ΚΡΕΠΑ,,,,,,"ΚΡΕΠΑ, ΚΡΕΠΑ, ΚΡΕΠΑ, ΚΡΕΠΑ, ΚΡΕΠΑ, ΚΡΕΠΑ, ΚΡΕΠΑ, ΚΡΕΠΑ",
ΚΡΕΠΑ ΖΑΜΠΟΝ-ΤΥΡΙ,,ΠΡΩΙΝΟ,OIK512,,1,,"ΚΡΕΠΑ ΖΑΜΠΟΝ-ΤΥΡΙ,ΚΡΕΠΑ ΖΑΜΠΟΝ-ΤΥΡΙ,ΚΡΕΠΑ ΖΑΜΠΟΝ-ΤΥΡΙ,ΚΡΕΠΑ ΖΑΜΠΟΝ-ΤΥΡΙ","0,45","0,77","0,77",13,"0,06","0,10","0,86","0,51","0,86","2,59","3,46",,,,,,,,
ΚΡΕΠΑ ΚΟΤΟΠΟΥΛΟ,,ΠΡΩΙΝΟ,OIK512,,1,,"ΚΡΕΠΑ ΚΟΤΟΠΟΥΛΟ,ΚΡΕΠΑ ΚΟΤΟΠΟΥΛΟ,ΚΡΕΠΑ ΚΟΤΟΠΟΥΛΟ,ΚΡΕΠΑ ΚΟΤΟΠΟΥΛΟ,ΚΡΕΠΑ ΚΟΤΟΠΟΥΛΟ,ΚΡΕΠΑ ΚΟΤΟΠΟΥΛΟ,ΚΡΕΠΑ ΚΟΤΟΠΟΥΛΟ","1,10","1,38","1,38",13,"0,14","0,18","1,56","1,24","1,56","4,69","6,26",,,,,,,,
ΚΡΕΠΑ ΝΟΥΤΕΛΑ,,ΠΡΩΙΝΟ,OIK512,,1,,"ΚΡΕΠΑ ΝΟΥΤΕΛΑ,ΚΡΕΠΑ ΝΟΥΤΕΛΑ","0,57","0,83","0,83",13,"0,07","0,11","0,94","0,64","0,94","2,82","3,76",,,,,,,,
ΚΡΗΤΙΚΟΣ ΝΤΑΚΟΣ,,ΣΑΛΑΤΕΣ,OIK104,"€9,5",1,,"ΚΡΗΤΙΚΟΣ ΝΤΑΚΟΣ,ΚΡΗΤΙΚΟΣ ΝΤΑΚΟΣ,ΚΡΗΤΙΚΟΣ ΝΤΑΚΟΣ,ΚΡΗΤΙΚΟΣ ΝΤΑΚΟΣ,ΚΡΗΤΙΚΟΣ ΝΤΑΚΟΣ,ΚΡΗΤΙΚΟΣ ΝΤΑΚΟΣ,ΚΡΗΤΙΚΟΣ ΝΤΑΚΟΣ,ΚΡΗΤΙΚΟΣ ΝΤΑΚΟΣ,ΚΡΗΤΙΚΟΣ ΝΤΑΚΟΣ,ΚΡΗΤΙΚΟΣ ΝΤΑΚΟΣ,ΚΡΗΤΙΚΟΣ ΝΤΑΚΟΣ,ΚΡΗΤΙΚΟΣ ΝΤΑΚΟΣ,ΚΡΗΤΙΚΟΣ ΝΤΑΚΟΣ","2,55","2,55","2,55",13,"0,33","0,33","2,88","2,88","2,88","8,65","11,53",,,,,ΚΡΗΤΙΚΟΣ ΝΤΑΚΟΣ,,"ΚΡΗΤΙΚΟΣ ΝΤΑΚΟΣ, ΚΡΗΤΙΚΟΣ ΝΤΑΚΟΣ, ΚΡΗΤΙΚΟΣ ΝΤΑΚΟΣ, ΚΡΗΤΙΚΟΣ ΝΤΑΚΟΣ, ΚΡΗΤΙΚΟΣ ΝΤΑΚΟΣ, ΚΡΗΤΙΚΟΣ ΝΤΑΚΟΣ, ΚΡΗΤΙΚΟΣ ΝΤΑΚΟΣ, ΚΡΗΤΙΚΟΣ ΝΤΑΚΟΣ, ΚΡΗΤΙΚΟΣ ΝΤΑΚΟΣ, ΚΡΗΤΙΚΟΣ ΝΤΑΚΟΣ, ΚΡΗΤΙΚΟΣ ΝΤΑΚΟΣ, ΚΡΗΤΙΚΟΣ ΝΤΑΚΟΣ, ΚΡΗΤΙΚΟΣ ΝΤΑΚΟΣ",
ΚΡΙΘΑΡΟΤΟ  ΓΑΡΙΔΑΣ,,ΠΑΣΤΕΣ - ΡΙΖΟΤΑ,OIK104,"€15,0",1,,"ΚΡΙΘΑΡΟΤΟ  ΓΑΡΙΔΑΣ,ΚΡΙΘΑΡΟΤΟ  ΓΑΡΙΔΑΣ,ΚΡΙΘΑΡΟΤΟ  ΓΑΡΙΔΑΣ,ΚΡΙΘΑΡΟΤΟ  ΓΑΡΙΔΑΣ,ΚΡΙΘΑΡΟΤΟ  ΓΑΡΙΔΑΣ,ΚΡΙΘΑΡΟΤΟ  ΓΑΡΙΔΑΣ,ΚΡΙΘΑΡΟΤΟ  ΓΑΡΙΔΑΣ,ΚΡΙΘΑΡΟΤΟ  ΓΑΡΙΔΑΣ,ΚΡΙΘΑΡΟΤΟ  ΓΑΡΙΔΑΣ","2,73","2,73","2,73",13,"0,36","0,36","3,09","3,09","3,09","9,26","12,35",,,,,ΚΡΙΘΑΡΟΤΟ  ΓΑΡΙΔΑΣ,,"ΚΡΙΘΑΡΟΤΟ  ΓΑΡΙΔΑΣ, ΚΡΙΘΑΡΟΤΟ  ΓΑΡΙΔΑΣ, ΚΡΙΘΑΡΟΤΟ  ΓΑΡΙΔΑΣ, ΚΡΙΘΑΡΟΤΟ  ΓΑΡΙΔΑΣ, ΚΡΙΘΑΡΟΤΟ  ΓΑΡΙΔΑΣ, ΚΡΙΘΑΡΟΤΟ  ΓΑΡΙΔΑΣ, ΚΡΙΘΑΡΟΤΟ  ΓΑΡΙΔΑΣ, ΚΡΙΘΑΡΟΤΟ  ΓΑΡΙΔΑΣ, ΚΡΙΘΑΡΟΤΟ  ΓΑΡΙΔΑΣ, ΚΡΙΘΑΡΟΤΟ  ΓΑΡΙΔΑΣ, ΚΡΙΘΑΡΟΤΟ  ΓΑΡΙΔΑΣ, ΚΡΙΘΑΡΟΤΟ  ΓΑΡΙΔΑΣ",
ΚΡΙΘΑΡΟΤΟ ΧΕΛΙ,,ΠΑΣΤΕΣ - ΡΙΖΟΤΑ,OIK104,,1,,"ΚΡΙΘΑΡΟΤΟ ΧΕΛΙ,ΚΡΙΘΑΡΟΤΟ ΧΕΛΙ,ΚΡΙΘΑΡΟΤΟ ΧΕΛΙ,ΚΡΙΘΑΡΟΤΟ ΧΕΛΙ,ΚΡΙΘΑΡΟΤΟ ΧΕΛΙ,ΚΡΙΘΑΡΟΤΟ ΧΕΛΙ,ΚΡΙΘΑΡΟΤΟ ΧΕΛΙ,ΚΡΙΘΑΡΟΤΟ ΧΕΛΙ","5,02","5,02","5,02",13,"0,65","0,65","5,67","5,67","5,67","17,00","22,67",,,,,ΚΡΙΘΑΡΟΤΟ ΧΕΛΙ,,"ΚΡΙΘΑΡΟΤΟ ΧΕΛΙ, ΚΡΙΘΑΡΟΤΟ ΧΕΛΙ, ΚΡΙΘΑΡΟΤΟ ΧΕΛΙ, ΚΡΙΘΑΡΟΤΟ ΧΕΛΙ, ΚΡΙΘΑΡΟΤΟ ΧΕΛΙ, ΚΡΙΘΑΡΟΤΟ ΧΕΛΙ, ΚΡΙΘΑΡΟΤΟ ΧΕΛΙ, ΚΡΙΘΑΡΟΤΟ ΧΕΛΙ",
ΛΑΔΟΡΑΒΑΝΗ 30 ΜΕΡΙΔΕΣ,,ΕΠΙΔΟΡΠΙΑ,OIK104,,30,,"ΛΑΔΟΡΑΒΑΝΗ 30 ΜΕΡΙΔΕΣ,ΛΑΔΟΡΑΒΑΝΗ 30 ΜΕΡΙΔΕΣ,ΛΑΔΟΡΑΒΑΝΗ 30 ΜΕΡΙΔΕΣ,ΛΑΔΟΡΑΒΑΝΗ 30 ΜΕΡΙΔΕΣ,ΛΑΔΟΡΑΒΑΝΗ 30 ΜΕΡΙΔΕΣ,ΛΑΔΟΡΑΒΑΝΗ 30 ΜΕΡΙΔΕΣ,ΛΑΔΟΡΑΒΑΝΗ 30 ΜΕΡΙΔΕΣ,ΛΑΔΟΡΑΒΑΝΗ 30 ΜΕΡΙΔΕΣ,ΛΑΔΟΡΑΒΑΝΗ 30 ΜΕΡΙΔΕΣ","17,23","17,23","0,57",13,"2,24","2,24","19,46","0,65","0,65","1,95","2,60",ΧΟΙΡΙΝΗ ΛΑΙΜΟΥ,,,,ΛΑΔΟΡΑΒΑΝΗ 30 ΜΕΡΙΔΕΣ,,"ΛΑΔΟΡΑΒΑΝΗ 30 ΜΕΡΙΔΕΣ, ΛΑΔΟΡΑΒΑΝΗ 30 ΜΕΡΙΔΕΣ, ΛΑΔΟΡΑΒΑΝΗ 30 ΜΕΡΙΔΕΣ, ΛΑΔΟΡΑΒΑΝΗ 30 ΜΕΡΙΔΕΣ, ΛΑΔΟΡΑΒΑΝΗ 30 ΜΕΡΙΔΕΣ, ΛΑΔΟΡΑΒΑΝΗ 30 ΜΕΡΙΔΕΣ, ΛΑΔΟΡΑΒΑΝΗ 30 ΜΕΡΙΔΕΣ, ΛΑΔΟΡΑΒΑΝΗ 30 ΜΕΡΙΔΕΣ, ΛΑΔΟΡΑΒΑΝΗ 30 ΜΕΡΙΔΕΣ",
ΛΟΥΚΑΝΙΚΟ,,ΚΡΕΑΤΙΚΑ ΣΤΑ ΚΑΡΒΟΥΝΑ,OIK104,,1,,"ΛΟΥΚΑΝΙΚΟ,ΛΟΥΚΑΝΙΚΟ","1,49","1,76","1,76",13,"0,19","0,23","1,99","1,68","1,99","5,97","7,96",,,,,ΛΟΥΚΑΝΙΚΟ,,"ΛΟΥΚΑΝΙΚΟ, ΛΟΥΚΑΝΙΚΟ",
ΜΑΡΓΑΡΙΤΑ,,ΠΙΤΣΑ,OIK512,"€10,0",1,,"ΜΑΡΓΑΡΙΤΑ,ΜΑΡΓΑΡΙΤΑ,ΜΑΡΓΑΡΙΤΑ,ΜΑΡΓΑΡΙΤΑ,ΜΑΡΓΑΡΙΤΑ,ΜΑΡΓΑΡΙΤΑ","1,46","2,52","2,52",13,"0,19","0,33","2,85","1,65","2,85","8,55","11,41",,,,,,,,
