Ingredient,Supplier,Cost per kg,Select,Ingredient Category,Cost Kg w Composite,Composite cost,TOTAL/MERIDA (from Composite cost),Imported table,OIK104 MENU INGREDIENTS copy,datecreated,OIK104 MENU,OIK104 MENU copy,OIK104 MENU INGREDIENTS copy,SUPPLIES 2025,SUPPLIES 2026,Q 2025 (from SUPPLIES 2026),Q 2026 (from SUPPLIES 2026),OIK104 MENU INGREDIENTS copy,OIK104 MENU INGREDIENTS
ΑΛΑΤΙ,ΠΑΣΣΙΑΣ,"0,89",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"0,89",,,"ΜΠΡΟΥΣΚΕΤΑ / ΠΡΟΜΑΔΑ,ΤΖΑΤΖΙΚΙ 5 ΚΙΛΩΝ,ΜΕΛΙΤΖΑΝΟΣΑΛΑΤΑ  1 ΚΙΛΟΥ,ΠΑΝΤΖΑΡΟΣΑΛΑΤΑ 1 ΚΙΛΟΥ,ΧΟΥΜΟΥΣ,ΚΟΛΟΚΥΘΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ,ΜΑΡΙΝΑΡΙΣΜΕΝΕΣ ΓΑΡΙΔΕΣ (ΣΕΒΙΤΣΕ),ΚΡΙΘΑΡΟΤΟ  ΓΑΡΙΔΑΣ,ΣΠΑΓΓΕΤΙ ΦΡΕΣΚΙΑ ΝΤΟΜΑΤΑ,ΠΕΝΝΕΣ ΜΕ ΦΙΛΕΤΑΚΙΑ ΚΟΤΟΠΟΥΛΟ,ΣΑΛΑΤΑ ΝΤΟΜΑΤΙΝΙΑ ΤΣΑΛΑΦΟΥΤΙ,ΣΑΛΑΤΑ ΜΑΥΡΟΜΑΤΙΚΑ,ΚΡΗΤΙΚΟΣ ΝΤΑΚΟΣ,ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ,ΝΤΟΛΜΑΔΑΚΙΑ ΓΙΑΛΑΝΤΖΙ 60 TEM,ΨΑΡΟΣΟΥΠΑ ΒΕΛΟΥΤΕ 4 ΜΕΡΙΔΕΣ,ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ,ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ,ΧΕΙΡΟΠΟΙΗΤΟ ΦΥΛΛΟ,ΜΑΡΙΝΑΔΑ ΧΟΙΡΙΝΑ ΠΑΙΔΑΚΙΑ,ΣΑΛΤΣΑ BBQ ΧΟΙΡΙΝΑ ΠΑΙΔΑΚΙΑ,ΜΠΙΦΤΕΚΙ ΚΟΤΟΠΟΥΛΟ,ΦΥΛΛΟ ΧΕΙΡΟΠΟΙΗΤΟ 4 ΦΥΛΛΑ,ΣΑΛΤΣΑ ΠΕΣΤΟ 1ΚΙΛΟΥ,ΜΠΕΣΑΜΕΛ 12 ΜΕΡΙΔΕΣ,ΣΑΛΤΣΑ ΝΤΟΜΑΤΑΣ 1ΚΙΛΟΥ/ΚΕΦΤΕΔΑΚΙΑ,ΣΑΛΤΣΑ ΜΠΟΛΟΝΕΖ ΜΑΝΙΤΑΡΙΩΝ,ΣΚΟΡΔΑΛΙΑ,DRESSING ΣΑΛΑΤΑ ΟΣΠΡΙΩΝ,DRESSING ΣΑΛΑΤΑ ΤΣΑΛΑΦΟΥΤΙ,ΚΙΜΑΣ 1 ΚΙΛΟΥ,ΜΠΙΦΤΕΚΙ ΜΟΣΧΑΡΙΣΙΟ 11 ΤΕΜΑΧΙΑ,ΖΥΜΗ ΠΙΤΣΑΣ 54 ΜΕΡΙΔΕΣ,ΣΑΛΤΣΑ ΠΙΤΣΑΣ,ΚΡΕΠΑ,ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,ΡΥΖΟΓΑΛΟ,ΣΤΡΑΠΑΤΣΑΔΑ,ΧΤΑΠΟΔΙ ΞΥΔΑΤΟ,OIK105 SHASHIMI ",,6/4/2025 8:28am,,,"ΣΤΡΑΠΑΤΣΑΔΑ,ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ ,ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,ΡΥΖΟΓΑΛΟ,ΧΤΑΠΟΔΙ ΞΥΔΑΤΟ",,,,,"ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ, ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ, ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ, ΚΟΛΟΚΥΘΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ, ΚΡΗΤΙΚΟΣ ΝΤΑΚΟΣ, ΚΡΙΘΑΡΟΤΟ  ΓΑΡΙΔΑΣ, ΜΑΡΙΝΑΡΙΣΜΕΝΕΣ ΓΑΡΙΔΕΣ (ΣΕΒΙΤΣΕ), ΜΕΛΙΤΖΑΝΟΣΑΛΑΤΑ  1 ΚΙΛΟΥ, ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ, ΜΠΡΟΥΣΚΕΤΑ / ΠΡΟΜΑΔΑ, ΝΤΟΛΜΑΔΑΚΙΑ ΓΙΑΛΑΝΤΖΙ 60 TEM, ΠΑΝΤΖΑΡΟΣΑΛΑΤΑ 1 ΚΙΛΟΥ, ΠΕΝΝΕΣ ΜΕ ΦΙΛΕΤΑΚΙΑ ΚΟΤΟΠΟΥΛΟ, ΣΑΛΑΤΑ ΜΑΥΡΟΜΑΤΙΚΑ, ΣΑΛΑΤΑ ΝΤΟΜΑΤΙΝΙΑ ΤΣΑΛΑΦΟΥΤΙ, ΣΠΑΓΓΕΤΙ ΦΡΕΣΚΙΑ ΝΤΟΜΑΤΑ, ΤΖΑΤΖΙΚΙ 5 ΚΙΛΩΝ, ΧΕΙΡΟΠΟΙΗΤΟ ΦΥΛΛΟ, ΧΟΥΜΟΥΣ, ΨΑΡΟΣΟΥΠΑ ΒΕΛΟΥΤΕ 4 ΜΕΡΙΔΕΣ, ΜΑΡΙΝΑΔΑ ΧΟΙΡΙΝΑ ΠΑΙΔΑΚΙΑ, ΣΑΛΤΣΑ BBQ ΧΟΙΡΙΝΑ ΠΑΙΔΑΚΙΑ, ΜΠΙΦΤΕΚΙ ΚΟΤΟΠΟΥΛΟ, ΦΥΛΛΟ ΧΕΙΡΟΠΟΙΗΤΟ 4 ΦΥΛΛΑ, ΣΑΛΤΣΑ ΠΕΣΤΟ 1ΚΙΛΟΥ, ΜΠΕΣΑΜΕΛ 12 ΜΕΡΙΔΕΣ, ΣΑΛΤΣΑ ΝΤΟΜΑΤΑΣ 1ΚΙΛΟΥ/ΚΕΦΤΕΔΑΚΙΑ, ΣΑΛΤΣΑ ΝΤΟΜΑΤΑΣ 1ΚΙΛΟΥ/ΚΕΦΤΕΔΑΚΙΑ, ΣΥΝΤΑΓΗ ΓΙΑ 17 ΚΑΡΒΕΛΙΑ, ΣΑΛΤΣΑ ΜΠΟΛΟΝΕΖ ΜΑΝΙΤΑΡΙΩΝ, ΣΚΟΡΔΑΛΙΑ, DRESSING ΣΑΛΑΤΑ ΟΣΠΡΙΩΝ, DRESSING ΣΑΛΑΤΑ ΤΣΑΛΑΦΟΥΤΙ, ΚΙΜΑΣ 1 ΚΙΛΟΥ, ΜΠΙΦΤΕΚΙ ΜΟΣΧΑΡΙΣΙΟ 11 ΤΕΜΑΧΙΑ, ΣΥΝΤΑΓΗ ΓΙΑ 17 ΚΑΡΒΕΛΙΑ, ΦΥΛΛΟ ΧΕΙΡΟΠΟΙΗΤΟ 4 ΦΥΛΛΑ, ΜΠΕΣΑΜΕΛ 12 ΜΕΡΙΔΕΣ, ΖΥΜΗ ΠΙΤΣΑΣ 54 ΜΕΡΙΔΕΣ, ΣΑΛΤΣΑ ΠΙΤΣΑΣ, ΚΡΕΠΑ, ΣΥΝΤΑΓΗ ΓΙΑ 17 ΚΑΡΒΕΛΙΑ",
ΑΛΑΤΙ ΗΜΙΧΟΝΔΡΟ,,"2,00",CONNECTED INGREDIENTS,,"2,00",,,,,9/4/2025 9:05am,,,ΤΖΑΤΖΙΚΙ 5 ΚΙΛΩΝ,,,,,ΣΑΛΤΣΑ ΦΕΤΑΣ 1ΚΙΛΟΥ,
ΑΛΕΥΡΙ 55%,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","1,07",CONNECTED INGREDIENTS,ΑΛΕΥΡΑ,"1,07",,,ΖΥΜΗ ΠΙΤΣΑΣ 54 ΜΕΡΙΔΕΣ,,4/4/2025 9:44am,,,,,,,,ΖΥΜΗ ΠΙΤΣΑΣ 54 ΜΕΡΙΔΕΣ,
ΑΛΕΥΡΙ 70%,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","0,72",CONNECTED INGREDIENTS,ΑΛΕΥΡΑ,"0,72",,,"ΛΑΔΟΡΑΒΑΝΗ 30 ΜΕΡΙΔΕΣ,ΣΟΥΦΛΕ ΣΟΚΟΛΑΤΑΣ,ΧΕΙΡΟΠΟΙΗΤΟ ΦΥΛΛΟ,ΣΥΝΤΑΓΗ ΓΙΑ 17 ΚΑΡΒΕΛΙΑ,ΦΥΛΛΟ ΧΕΙΡΟΠΟΙΗΤΟ 4 ΦΥΛΛΑ,ΜΠΕΣΑΜΕΛ 12 ΜΕΡΙΔΕΣ,ΚΡΕΠΑ",,4/4/2025 10:15am,,,,,,,,"ΛΑΔΟΡΑΒΑΝΗ 30 ΜΕΡΙΔΕΣ, ΣΟΥΦΛΕ ΣΟΚΟΛΑΤΑΣ, ΧΕΙΡΟΠΟΙΗΤΟ ΦΥΛΛΟ, ""ΦΥΛΛΟ ΧΕΙΡΟΠΟΙΗΤΟ 4 ΦΥΛΛΑ, ΦΥΛΛΟ ΧΕΙΡΟΠΟΙΗΤΟ 4 ΦΥΛΛΑ"", ΜΠΕΣΑΜΕΛ 12 ΜΕΡΙΔΕΣ, ""ΣΥΝΤΑΓΗ ΓΙΑ 17 ΚΑΡΒΕΛΙΑ, ΣΥΝΤΑΓΗ ΓΙΑ 17 ΚΑΡΒΕΛΙΑ"", ΣΥΝΤΑΓΗ ΓΙΑ 17 ΚΑΡΒΕΛΙΑ, ΦΥΛΛΟ ΧΕΙΡΟΠΟΙΗΤΟ 4 ΦΥΛΛΑ, ΜΠΕΣΑΜΕΛ 12 ΜΕΡΙΔΕΣ, ΚΡΕΠΑ, ΣΥΝΤΑΓΗ ΓΙΑ 17 ΚΑΡΒΕΛΙΑ",
ΑΛΕΥΡΙ SUPER K,ΠΑΣΣΙΑΣ,"1,30",CONNECTED INGREDIENTS,ΑΛΕΥΡΑ,"1,30",,,ΖΥΜΗ ΠΙΤΣΑΣ 54 ΜΕΡΙΔΕΣ,,4/4/2025 9:45am,,,,,,,,ΖΥΜΗ ΠΙΤΣΑΣ 54 ΜΕΡΙΔΕΣ,
ΑΛΕΥΡΙ ΒΑΦΛΑΣ ,ΕΡΜΗΣ,"4,55",CONNECTED INGREDIENTS,ΑΛΕΥΡΑ,"4,55",,,ΒΑΦΛΑ,,11/6/2025 11:18am,,,,,,,,ΒΑΦΛΑ,
ΑΛΕΥΡΙ ΟΛΙΚΗΣ 1kg,ΠΑΣΣΙΑΣ,"1,91",CONNECTED INGREDIENTS,SUPER FOOD,"1,91",,,,,6/4/2025 8:19am,,,,ΑΛΕΥΡΙ ΟΛΙΚΗΣ 1kg,,,,,
ΑΜΠΕΛΟΦΥΛΛΑ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","3,80",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"3,80",,,ΝΤΟΛΜΑΔΑΚΙΑ ΓΙΑΛΑΝΤΖΙ 60 TEM,,6/4/2025 8:28am,,,,,,,,ΝΤΟΛΜΑΔΑΚΙΑ ΓΙΑΛΑΝΤΖΙ 60 TEM,
ΑΜΥΓΔΑΛΟΨΥΧΑ 1kg,,"8,75",CONNECTED INGREDIENTS,SUPER FOOD,"8,75",,,"VEGAN CHEESECAKE 16ΜΕΡΙΔΕΣ (1600GR),ΛΑΔΟΡΑΒΑΝΗ 30 ΜΕΡΙΔΕΣ,ΓΚΡΑΝΟΛΑ 1ΚΙΛΟΥ,ΜΠΑΡΕΣ ΔΗΜΗΤΡΙΑΚΩΝ",,6/4/2025 8:19am,,,ΜΠΑΡΕΣ ΔΗΜΗΤΡΙΑΚΩΝ,,,,,"VEGAN CHEESECAKE 16ΜΕΡΙΔΕΣ (1600GR), ΕΚΜΕΚ 20 ΜΕΡΙΔΕΣ, ΛΑΔΟΡΑΒΑΝΗ 30 ΜΕΡΙΔΕΣ, ΓΚΡΑΝΟΛΑ 1ΚΙΛΟΥ, ΓΚΡΑΝΟΛΑ 1ΚΙΛΟΥ, ΓΚΡΑΝΟΛΑ 1ΚΙΛΟΥ",
ΑΝΘΟΣ ΑΡΑΒΟΣΙΤΟΥ,,"9,52",CONNECTED INGREDIENTS,,"9,52",,,ΡΥΖΟΓΑΛΟ,,16/5/2025 2:38pm,,,ΡΥΖΟΓΑΛΟ,,,,,,
