Ingredient,Supplier,Cost per kg,Select,Ingredient Category,Cost Kg w Composite,Composite cost,TOTAL/MERIDA (from Composite cost),Imported table,OIK104 MENU INGREDIENTS copy,datecreated,OIK104 MENU,OIK104 MENU copy,OIK104 MENU INGREDIENTS copy,SUPPLIES 2025,SUPPLIES 2026,Q 2025 (from SUPPLIES 2026),Q 2026 (from SUPPLIES 2026),OIK104 MENU INGREDIENTS copy,OIK104 MENU INGREDIENTS
ΒΑΝΙΛΙΑ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","34,07",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"34,07",,,"ΕΚΜΕΚ 20 ΜΕΡΙΔΕΣ,ΓΑΛΑΚΤΟΜΠΟΥΡΕΚΟ 20 ΜΕΡΙΔΕΣ,VEGAN CHEESECAKE 16ΜΕΡΙΔΕΣ (1600GR),ΓΑΛΑΚΤΟΜΠΟΥΡΕΚΟ 20 ΜΕΡΙΔΕΣ,ΕΚΜΕΚ 20 ΜΕΡΙΔΕΣ,ΡΥΖΟΓΑΛΟ",,6/4/2025 8:28am,,,ΡΥΖΟΓΑΛΟ,,,,,"VEGAN CHEESECAKE 16ΜΕΡΙΔΕΣ (1600GR), ΓΑΛΑΚΤΟΜΠΟΥΡΕΚΟ 20 ΜΕΡΙΔΕΣ, ΓΑΛΑΚΤΟΜΠΟΥΡΕΚΟ 20 ΜΕΡΙΔΕΣ, ΕΚΜΕΚ 20 ΜΕΡΙΔΕΣ, ΕΚΜΕΚ 20 ΜΕΡΙΔΕΣ",
ΒΑΣΙΛΟΜΑΝΙΤΑΡΑ,,"96,50",CONNECTED INGREDIENTS,ΜΑΝΙΤΑΡΙΑ,"96,50",,,,,6/4/2025 8:26am,,,,,,,,,
ΒΑΤΟΜΟΥΡΟ ΚΟΚΚΙΝΟ ,,"4,65",CONNECTED INGREDIENTS,SUPER FOOD,"4,65",,,VEGAN CHEESECAKE 16ΜΕΡΙΔΕΣ (1600GR),,6/4/2025 8:19am,,,,,,,,VEGAN CHEESECAKE 16ΜΕΡΙΔΕΣ (1600GR),
ΒΑΤΟΜΟΥΡΟ ΜΑΥΡΟ ΚΤΨ,,"4,20",CONNECTED INGREDIENTS,SUPER FOOD,"4,20",,,,,6/4/2025 8:19am,,,,,,,,,
ΒΑΦΛΑ,,,CONNECTED INGREDIENTS,COMPOSITE,"2,34",ΒΑΦΛΑ,"2,34",ΒΑΦΛΑ ΝΟΥΤΕΛΑ,,10/6/2025 6:01pm,,,ΒΑΦΛΑ ΝΟΥΤΕΛΑ,,,,,,
ΒΙΤΑΜ (ΜΑΡΓΑΡΙΝΗ),"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","7,80",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"7,80",,,"ΖΥΜΗ ΠΙΤΣΑΣ 54 ΜΕΡΙΔΕΣ,ΣΚΟΡΔΟΤΥΡΟΨΩΜΟ,ΣΚΟΡΔΟΨΩΜΟ,ΣΠΙΤΙΚΟ ΚΕΙΚ",,6/4/2025 8:28am,,,"ΣΚΟΡΔΟΨΩΜΟ,ΣΚΟΡΔΟΤΥΡΟΨΩΜΟ,ΣΠΙΤΙΚΟ ΚΕΙΚ",,,,,ΖΥΜΗ ΠΙΤΣΑΣ 54 ΜΕΡΙΔΕΣ,
ΒΟΤΑΝΟΤΥΡΑΚΙΑ ΜΠΩΛ 150γρ,ΙΝΑΧΟΣ,"2,50",CONNECTED INGREDIENTS,ΤΥΡΟΚΟΜΙΚΑ,"2,50",,,,,6/4/2025 8:19am,,,,,,,,,
ΒΟΥΤΥΡΟ ΒΑΦΛΑΣ,,,CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,,,,,,12/6/2025 2:11pm,,,,,,,,,
ΒΟΥΤΥΡΟ ΒΑΦΛΑΣ ,,"30,97",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"30,97",,,ΒΑΦΛΑ,,11/6/2025 11:19am,,,,,,,,ΒΑΦΛΑ,
ΒΟΥΤΥΡΟ ΣΟΥΠΕΡ ΦΡΕΣΚΟ(ΠΙΤΣΑ),"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","15,00",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"15,00",,,,,6/4/2025 8:28am,,,,,,,,,
ΒΟΥΤΥΡΟ ΦΡΕΣΚΟ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","12,11",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"12,11",,,"ΦΩΛΙΑ ΚΑΝΤΑΙΦΙ 7TMX,ΓΑΛΑΚΤΟΜΠΟΥΡΕΚΟ 20 ΜΕΡΙΔΕΣ,ΕΚΜΕΚ 20 ΜΕΡΙΔΕΣ,ΣΟΥΦΛΕ ΣΟΚΟΛΑΤΑΣ,ΚΡΙΘΑΡΟΤΟ  ΓΑΡΙΔΑΣ,ΡΙΖΟΤΟ ΦΡΕΣΚΩΝ ΑΓΡΙΩΝ ΜΑΝΙΤΑΡΙΩΝ,ΜΠΕΣΑΜΕΛ 12 ΜΕΡΙΔΕΣ,ΚΡΙΘΑΡΟΤΟ ΧΕΛΙ,ΓΑΛΑΤΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ",,6/4/2025 8:28am,,,ΓΑΛΑΤΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ,,,,,"ΓΑΛΑΚΤΟΜΠΟΥΡΕΚΟ 20 ΜΕΡΙΔΕΣ, ΕΚΜΕΚ 20 ΜΕΡΙΔΕΣ, ΚΡΙΘΑΡΟΤΟ  ΓΑΡΙΔΑΣ, ΡΙΖΟΤΟ ΦΡΕΣΚΩΝ ΑΓΡΙΩΝ ΜΑΝΙΤΑΡΙΩΝ, ΣΟΥΦΛΕ ΣΟΚΟΛΑΤΑΣ, ΦΩΛΙΑ ΚΑΝΤΑΙΦΙ 7TMX, ΜΠΕΣΑΜΕΛ 12 ΜΕΡΙΔΕΣ, ΚΡΙΘΑΡΟΤΟ ΧΕΛΙ, ΜΠΕΣΑΜΕΛ 12 ΜΕΡΙΔΕΣ",
ΓΑΛΑ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","1,00",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"1,00",,,"ΕΚΜΕΚ 20 ΜΕΡΙΔΕΣ,ΓΑΛΑΚΤΟΜΠΟΥΡΕΚΟ 20 ΜΕΡΙΔΕΣ,ΚΟΛΟΚΥΘΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ,ΜΠΕΣΑΜΕΛ 12 ΜΕΡΙΔΕΣ,ΚΡΕΠΑ,ΓΑΛΑΤΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ,ΡΥΖΟΓΑΛΟ,ΣΚΡΑΜΠΛ,ΣΠΙΤΙΚΟ ΚΕΙΚ",,6/4/2025 8:28am,,,"ΣΚΡΑΜΠΛ,ΣΠΙΤΙΚΟ ΚΕΙΚ,ΓΑΛΑΤΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ,ΡΥΖΟΓΑΛΟ",,,,,"ΓΑΛΑΚΤΟΜΠΟΥΡΕΚΟ 20 ΜΕΡΙΔΕΣ, ΕΚΜΕΚ 20 ΜΕΡΙΔΕΣ, ΚΟΛΟΚΥΘΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ, ""ΜΠΕΣΑΜΕΛ 12 ΜΕΡΙΔΕΣ, ΜΠΕΣΑΜΕΛ 12 ΜΕΡΙΔΕΣ"", ΜΠΕΣΑΜΕΛ 12 ΜΕΡΙΔΕΣ, ΚΡΕΠΑ",
ΓΑΛΑ ΕΒΑΠΟΡΕ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","1,03",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"1,03",,,ΚΡΕΠΑ,,6/4/2025 8:28am,,,,,,,,ΚΡΕΠΑ,
ΓΑΛΑ ΚΑΡΥΔΑΣ,ΣΚΛΑΒΕΝΙΤΗΣ,"2,08",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"2,08",,,VEGAN CHEESECAKE 16ΜΕΡΙΔΕΣ (1600GR),,6/4/2025 8:28am,,,,,,,,VEGAN CHEESECAKE 16ΜΕΡΙΔΕΣ (1600GR),
ΓΑΛΑ ΠΡΟΒΕΙΟ,,"1,80",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"1,80",,,ΓΙΑΟΥΡΤΙ ΠΡΟΒΕΙΟ,,16/5/2025 2:28pm,,,ΓΙΑΟΥΡΤΙ ΠΡΟΒΕΙΟ,,,,,,
ΓΑΛΟΠΟΥΛΑ,,"5,36",CONNECTED INGREDIENTS,ΑΛΛΑΝΤΙΚΑ,"5,36",,,ΟΜΕΛΕΤΑ ΚΛΑΣΣΙΚΗ,,6/4/2025 8:22am,,,ΟΜΕΛΕΤΑ ΚΛΑΣΣΙΚΗ,,,,,,
ΓΑΡΙΔΕΣ,ΓΑΖΗΣ,"8,93",CONNECTED INGREDIENTS,ΨΑΡΙΑ,"8,93",,,"ΓΑΡΙΔΕΣ ΜΕΘΥΣΜΕΝΕΣ (ΣΑΓΑΝΑΚΙ) 3ΜΕΡΙΔΕΣ,ΜΑΡΙΝΑΡΙΣΜΕΝΕΣ ΓΑΡΙΔΕΣ (ΣΕΒΙΤΣΕ),ΚΡΙΘΑΡΟΤΟ  ΓΑΡΙΔΑΣ,ΓΑΡΙΔΟΜΑΚΑΡΟΝΑΔΑ",,6/4/2025 8:25am,,,,,,,,"ΓΑΡΙΔΕΣ ΜΕΘΥΣΜΕΝΕΣ (ΣΑΓΑΝΑΚΙ) 3ΜΕΡΙΔΕΣ, ΓΑΡΙΔΟΜΑΚΑΡΟΝΑΔΑ, ΚΡΙΘΑΡΟΤΟ  ΓΑΡΙΔΑΣ, ΜΑΡΙΝΑΡΙΣΜΕΝΕΣ ΓΑΡΙΔΕΣ (ΣΕΒΙΤΣΕ)",
ΓΑΡΥΦΑΛΟ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","11,75",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"11,75",,,"ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ,ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ",,6/4/2025 8:28am,,,,,,,,"ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ, ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ",
ΓΑΥΡΟΣ,,"6,61",CONNECTED INGREDIENTS,ΨΑΡΙΑ,"6,61",,,"ΓΑΥΡΟΣ ΜΑΡΙΝΑΤΟΣ ΜΕΡΙΔΑ,ΓΑΥΡΟΣ ΜΑΡΙΝΑΤΟΣ ΣΠΙΤΙΚΟΣ",,6/4/2025 8:25am,,,ΓΑΥΡΟΣ ΜΑΡΙΝΑΤΟΣ ΣΠΙΤΙΚΟΣ,,,,,ΓΑΥΡΟΣ ΜΑΡΙΝΑΤΟΣ ΜΕΡΙΔΑ,
ΓΙΑΟΥΡΤΙ ΠΡΟΒΕΙΟ,,"5,04",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"5,04",,,ΓΙΑΟΥΡΤΙ ΠΡΟΒΕΙΟ,,16/5/2025 2:29pm,,,ΓΙΑΟΥΡΤΙ ΠΡΟΒΕΙΟ,,,,,,
ΓΚΟΥΝΤΑ,ΠΑΣΣΙΑΣ,"5,99",CONNECTED INGREDIENTS,ΤΥΡΙΑ,"5,99",,,,,6/4/2025 8:21am,,,,,,,,,
ΓΚΟΥΝΤΑ ΤΡΙΜΜΕΝΟ,,"6,23",CONNECTED INGREDIENTS,ΤΥΡΟΚΟΜΙΚΑ,"6,23",,,,,6/4/2025 8:19am,,,,,,,,,
ΓΚΡΑΝΟΛΑ 1ΚΙΛΟΥ,,,CONNECTED INGREDIENTS,COMPOSITE,"14,28",ΓΚΡΑΝΟΛΑ 1ΚΙΛΟΥ,"14,28",,,9/4/2025 8:55am,,,,,,,,,
ΓΚΡΑΝΟΛΑ 1ΚΙΛΟΥ,,,CONNECTED INGREDIENTS,COMPOSITE,"14,28",ΓΚΡΑΝΟΛΑ 1ΚΙΛΟΥ,"14,28",,,7/5/2025 7:07am,,,,,,,,,
ΓΛΥΚΟΖΗ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","1,30",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"1,30",,,,,6/4/2025 8:28am,,,,,,,,ΓΑΛΑΚΤΟΜΠΟΥΡΕΚΟ 20 ΜΕΡΙΔΕΣ,
ΓΡΑΒΙΕΡΑ,ΜΠΟΥΤΣΩΛΗΣ,"11,58",CONNECTED INGREDIENTS,ΤΥΡΙΑ,"11,58",,,"ΚΕΦΑΛΟΓΡΑΒΙΕΡΑ ΣΑΓΑΝΑΚΙ,ΚΡΙΘΑΡΟΤΟ  ΓΑΡΙΔΑΣ",,6/4/2025 8:21am,,,,,,,,"ΚΕΦΑΛΟΓΡΑΒΙΕΡΑ ΣΑΓΑΝΑΚΙ, ΚΡΙΘΑΡΟΤΟ  ΓΑΡΙΔΑΣ",
ΔΕΝΔΡΟΛΙΒΑΝΟ,,"14,00",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"14,00",,,ΣΑΛΑΤΑ ΝΤΟΜΑΤΙΝΙΑ ΤΣΑΛΑΦΟΥΤΙ,,8/4/2025 9:25pm,,,,,,,,ΣΑΛΑΤΑ ΝΤΟΜΑΤΙΝΙΑ ΤΣΑΛΑΦΟΥΤΙ,
ΔΥΟΣΜΟΣ,,"1,00",CONNECTED INGREDIENTS,ΛΑΧΑΝΙΚΑ,"1,00",,,"ΣΑΛΑΤΑ ΜΑΥΡΟΜΑΤΙΚΑ,ΝΤΟΛΜΑΔΑΚΙΑ ΓΙΑΛΑΝΤΖΙ 60 TEM,ΜΠΙΦΤΕΚΙ ΚΟΤΟΠΟΥΛΟ",,5/4/2025 8:36am,,,,,,,,"ΝΤΟΛΜΑΔΑΚΙΑ ΓΙΑΛΑΝΤΖΙ 60 TEM, ΣΑΛΑΤΑ ΜΑΥΡΟΜΑΤΙΚΑ, ΜΠΙΦΤΕΚΙ ΚΟΤΟΠΟΥΛΟ",
ΕΔΕΣΜΑ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","1,99",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"1,99",,,ΤΖΑΤΖΙΚΙ 5 ΚΙΛΩΝ,,6/4/2025 8:28am,,,ΤΖΑΤΖΙΚΙ 5 ΚΙΛΩΝ,,,,,ΤΖΑΤΖΙΚΙ 5 ΚΙΛΩΝ,
ΕΛΑΙΟΛΑΔΟ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","5,76",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"5,76",,,"ΤΥΡΟΚΑΥΤΕΡΗ 5ΜΕΡΙΔΕΣ,ΜΑΡΙΝΑΡΙΣΜΕΝΕΣ ΓΑΡΙΔΕΣ (ΣΕΒΙΤΣΕ),ΛΑΔΟΡΑΒΑΝΗ 30 ΜΕΡΙΔΕΣ,ΦΑΒΑ 5 ΜΕΡΙΔΕΣ,ΣΠΑΝΑΚΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ (ΚΟΣΤΟΣ ΜΕΡΙΔΑΣ),ΤΖΑΤΖΙΚΙ 5 ΚΙΛΩΝ,ΜΕΛΙΤΖΑΝΟΣΑΛΑΤΑ  1 ΚΙΛΟΥ,ΚΡΕΜΑ ΛΕΥΚΟΥ ΤΑΡΑΜΑ 4 MΕΡΙΔΕΣ,ΧΟΥΜΟΥΣ,ΚΕΦΑΛΟΓΡΑΒΙΕΡΑ ΣΑΓΑΝΑΚΙ,ΚΟΛΟΚΥΘΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ,ΡΙΖΟΤΟ ΦΡΕΣΚΩΝ ΑΓΡΙΩΝ ΜΑΝΙΤΑΡΙΩΝ,ΣΑΛΑΤΑ ΝΤΟΜΑΤΙΝΙΑ ΤΣΑΛΑΦΟΥΤΙ,ΣΑΛΑΤΑ ΜΑΥΡΟΜΑΤΙΚΑ,ΧΟΡΤΑ ΕΠΟΧΗΣ,ΚΡΗΤΙΚΟΣ ΝΤΑΚΟΣ,ΣΑΡΔΕΛΕΣ ΨΗΤΕΣ,ΝΤΟΛΜΑΔΑΚΙΑ ΓΙΑΛΑΝΤΖΙ 60 TEM,BIANCO,ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,ΨΑΡΟΣΟΥΠΑ ΒΕΛΟΥΤΕ 4 ΜΕΡΙΔΕΣ,ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ,ΧΕΙΡΟΠΟΙΗΤΟ ΦΥΛΛΟ,ΣΑΛΤΣΑ ΒΑΛΣΑΜΙΚΟ 10 ΜΕΡΙΔΕΣ,ΣΑΛΤΣΑ ΠΕΣΤΟ 1ΚΙΛΟΥ,ΣΩΣ ΒΑΛΣΑΜΙΚΟ 1000,ΣΑΛΤΣΑ ΝΤΟΜΑΤΑΣ 1ΚΙΛΟΥ/ΚΕΦΤΕΔΑΚΙΑ,ΣΑΛΤΣΑ ΜΠΟΛΟΝΕΖ ΜΑΝΙΤΑΡΙΩΝ,ΣΚΟΡΔΑΛΙΑ,DRESSING ΣΑΛΑΤΑ ΟΣΠΡΙΩΝ,DRESSING ΣΑΛΑΤΑ ΤΣΑΛΑΦΟΥΤΙ,ΚΙΜΑΣ 1 ΚΙΛΟΥ,ΚΡΙΘΑΡΟΤΟ ΧΕΛΙ,ΧΕΛΙ ΚΕΡΑΜΙΔΙ,ΜΠΡΟΥΣΚΕΤΑ / ΠΡΟΜΑΔΑ,ΣΑΛΤΣΑ  ΒΑΛΣΑΜΙΚΟ 10 ΜΕΡΙΔΕΣ,ΦΥΛΛΟ ΧΕΙΡΟΠΟΙΗΤΟ 4 ΦΥΛΛΑ,ΖΥΜΗ ΠΙΤΣΑΣ 54 ΜΕΡΙΔΕΣ,ΣΑΛΤΣΑ ΠΙΤΣΑΣ,ΚΡΕΠΑ,ΠΑΝΤΖΑΡΟΣΑΛΑΤΑ 1 ΚΙΛΟΥ,ΝΤΑΚΟΣ,ΤΥΡΟΚΑΥΤΕΡΗ,ΧΩΡΙΑΤΙΚΗ ΠΙΤΣΑ",,6/4/2025 8:28am,,,"ΣΠΑΝΑΚΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ (ΚΟΣΤΟΣ ΜΕΡΙΔΑΣ),ΤΥΡΟΚΑΥΤΕΡΗ,ΧΩΡΙΑΤΙΚΗ ΠΙΤΣΑ,ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,ΝΤΑΚΟΣ",,,,,"BIANCO, ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ, ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ, ΚΕΦΑΛΟΓΡΑΒΙΕΡΑ ΣΑΓΑΝΑΚΙ, ΚΟΛΟΚΥΘΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ, ΚΡΕΜΑ ΛΕΥΚΟΥ ΤΑΡΑΜΑ 4 MΕΡΙΔΕΣ, ΚΡΗΤΙΚΟΣ ΝΤΑΚΟΣ, ΛΑΔΟΡΑΒΑΝΗ 30 ΜΕΡΙΔΕΣ, ΜΑΡΙΝΑΡΙΣΜΕΝΕΣ ΓΑΡΙΔΕΣ (ΣΕΒΙΤΣΕ), ΜΕΛΙΤΖΑΝΟΣΑΛΑΤΑ  1 ΚΙΛΟΥ, ΝΤΟΛΜΑΔΑΚΙΑ ΓΙΑΛΑΝΤΖΙ 60 TEM, ΡΙΖΟΤΟ ΦΡΕΣΚΩΝ ΑΓΡΙΩΝ ΜΑΝΙΤΑΡΙΩΝ, ΣΑΛΑΤΑ ΜΑΥΡΟΜΑΤΙΚΑ, ΣΑΛΑΤΑ ΝΤΟΜΑΤΙΝΙΑ ΤΣΑΛΑΦΟΥΤΙ, ΣΑΡΔΕΛΕΣ ΨΗΤΕΣ, ΣΠΑΝΑΚΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ (ΚΟΣΤΟΣ ΜΕΡΙΔΑΣ), ΤΖΑΤΖΙΚΙ 5 ΚΙΛΩΝ, ΤΥΡΟΚΑΥΤΕΡΗ 5ΜΕΡΙΔΕΣ, ΦΑΒΑ 5 ΜΕΡΙΔΕΣ, ΧΕΙΡΟΠΟΙΗΤΟ ΦΥΛΛΟ, ΧΟΡΤΑ ΕΠΟΧΗΣ, ΧΟΥΜΟΥΣ, ΨΑΡΟΣΟΥΠΑ ΒΕΛΟΥΤΕ 4 ΜΕΡΙΔΕΣ, ΣΑΛΤΣΑ ΒΑΛΣΑΜΙΚΟ 10 ΜΕΡΙΔΕΣ, ΦΥΛΛΟ ΧΕΙΡΟΠΟΙΗΤΟ 4 ΦΥΛΛΑ, ΣΑΛΤΣΑ ΠΕΣΤΟ 1ΚΙΛΟΥ, ΣΑΛΤΣΑ ΝΤΟΜΑΤΑΣ 1ΚΙΛΟΥ/ΚΕΦΤΕΔΑΚΙΑ, ΣΩΣ ΒΑΛΣΑΜΙΚΟ 1000, ΣΑΛΤΣΑ ΝΤΟΜΑΤΑΣ 1ΚΙΛΟΥ/ΚΕΦΤΕΔΑΚΙΑ, ΣΥΝΤΑΓΗ ΓΙΑ 17 ΚΑΡΒΕΛΙΑ, ΣΑΛΤΣΑ ΜΠΟΛΟΝΕΖ ΜΑΝΙΤΑΡΙΩΝ, ΣΚΟΡΔΑΛΙΑ, DRESSING ΣΑΛΑΤΑ ΟΣΠΡΙΩΝ, DRESSING ΣΑΛΑΤΑ ΤΣΑΛΑΦΟΥΤΙ, ΚΙΜΑΣ 1 ΚΙΛΟΥ, ΚΡΙΘΑΡΟΤΟ ΧΕΛΙ, ΧΕΛΙ ΚΕΡΑΜΙΔΙ, ΜΠΡΟΥΣΚΕΤΑ / ΠΡΟΜΑΔΑ, ΣΑΛΤΣΑ  ΒΑΛΣΑΜΙΚΟ 10 ΜΕΡΙΔΕΣ, ΣΥΝΤΑΓΗ ΓΙΑ 17 ΚΑΡΒΕΛΙΑ, ΣΩΣ ΒΑΛΣΑΜΙΚΟ 1000, ΦΥΛΛΟ ΧΕΙΡΟΠΟΙΗΤΟ 4 ΦΥΛΛΑ, ΖΥΜΗ ΠΙΤΣΑΣ 54 ΜΕΡΙΔΕΣ, ΣΑΛΤΣΑ ΠΙΤΣΑΣ, ΚΡΕΠΑ, Unnamed record, ΣΥΝΤΑΓΗ ΓΙΑ 17 ΚΑΡΒΕΛΙΑ, ΣΩΣ ΒΑΛΣΑΜΙΚΟ 1000",
ΕΛΙΑ ΡΟΔΕΛΑ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","5,14",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"5,14",,,"ΝΤΙΠ ΚΟΜΠΙΝΕΣΙΟΝ,ΧΩΡΙΑΤΙΚΗ YACHT CLUB,ΧΩΡΙΑΤΙΚΗ,ΧΩΡΙΑΤΙΚΗ ΠΙΤΣΑ",,6/4/2025 8:28am,,,"ΧΩΡΙΑΤΙΚΗ ΠΙΤΣΑ,XΩΡΙΑΤΙΚΗ ΣΑΛΑΤΑ",,,,,"ΝΤΙΠ ΚΟΜΠΙΝΕΣΙΟΝ, ΧΩΡΙΑΤΙΚΗ, ΧΩΡΙΑΤΙΚΗ YACHT CLUB",
ΕΛΙΕΣ ΚΑΛΑΜΩΝ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","5,07",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"5,07",,,ΚΡΗΤΙΚΟΣ ΝΤΑΚΟΣ,,6/4/2025 8:28am,,,,,,,,ΚΡΗΤΙΚΟΣ ΝΤΑΚΟΣ,
ΕΝΤΑΜ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","7,20",CONNECTED INGREDIENTS,ΤΥΡΙΑ,"7,20",,,"ΚΟΤΟΠΙΤΑ 8ΜΕΡΙΔΕΣ,Unnamed record,ΚΡΕΠΑ ΚΟΤΟΠΟΥΛΟ,ΜΑΡΓΑΡΙΤΑ,ΟΜΕΛΕΤΑ ΚΛΑΣΣΙΚΗ,ΠΑΙΔΙΚΗ,ΠΕΠΕΡΟΝΙ,ΠΙΤΣΑ ΚΑΡΜΠΟΝΑΡΑ,ΠΟΛΟ,ΠΡΟΣΟΥΤΟ,ΣΚΟΡΔΟΤΥΡΟΨΩΜΟ,ΣΠΕΣΙΑΛ,ΤΥΡΟΨΩΜΟ,ΧΩΡΙΑΤΙΚΗ ΠΙΤΣΑ,4 ΕΠΟΧΕΣ",,6/4/2025 8:21am,,,"ΚΟΤΟΠΙΤΑ 8ΜΕΡΙΔΕΣ,ΠΙΤΣΑ ΚΑΡΜΠΟΝΑΡΑ,ΜΑΡΓΑΡΙΤΑ,ΠΑΙΔΙΚΗ,4 ΕΠΟΧΕΣ,ΠΕΠΕΡΟΝΙ,ΣΠΕΣΙΑΛ,ΧΩΡΙΑΤΙΚΗ ΠΙΤΣΑ,ΤΥΡΟΨΩΜΟ,ΣΚΟΡΔΟΤΥΡΟΨΩΜΟ,ΠΡΟΣΟΥΤΟ,ΠΟΛΟ,ΟΜΕΛΕΤΑ ΚΛΑΣΣΙΚΗ,ΚΡΕΠΑ ΚΟΤΟΠΟΥΛΟ",,,,,ΚΟΤΟΠΙΤΑ 8ΜΕΡΙΔΕΣ,
ΕΝΤΑΜ ΦΕΤΕΣ,ΓΑΖΗΣ,"6,53",CONNECTED INGREDIENTS,ΤΥΡΙΑ,"6,53",,,"ΜΠΕΡΓΚΕΡ YACHT CLUB,ΚΛΑΜΠ ΣΑΝΤΟΥΙΤΣ ΚΛΑΣΙΚΟ,ΚΛΑΜΠ ΣΑΝΤΟΥΙΤΣ ΠΙΤΑ ΓΥΡΟΣ,ΚΡΕΠΑ ΖΑΜΠΟΝ-ΤΥΡΙ,ΜΠΕΡΓΚΕΡ ,ΤΟΡΤΙΓΙΑ ΚΟΤΟΠΟΥΛΟ,ΤΟΣΤ",,6/4/2025 8:21am,,,"ΜΠΕΡΓΚΕΡ ,ΚΛΑΜΠ ΣΑΝΤΟΥΙΤΣ ΚΛΑΣΙΚΟ,ΚΛΑΜΠ ΣΑΝΤΟΥΙΤΣ ΠΙΤΑ ΓΥΡΟΣ,ΤΟΣΤ,ΤΟΡΤΙΓΙΑ ΚΟΤΟΠΟΥΛΟ,ΚΡΕΠΑ ΖΑΜΠΟΝ-ΤΥΡΙ",,,,,ΜΠΕΡΓΚΕΡ YACHT CLUB,
ΕΡΙΦΙ ΚΜΤ ΜΕ PESTO 140γρ,,"16,80",CONNECTED INGREDIENTS,ΤΥΡΟΚΟΜΙΚΑ,"16,80",,,,,6/4/2025 8:19am,,,,,,,,,
ΕΡΙΦΙ ΚΜΤ ΜΕ ΑΝΗΘΟΣ 140γρ,ΙΝΑΧΟΣ,"2,40",CONNECTED INGREDIENTS,ΤΥΡΟΚΟΜΙΚΑ,"2,40",,,,,6/4/2025 8:19am,,,,,,,,,
ΕΡΙΦΙ ΚΜΤ ΜΕ ΚΡΑΝΟ 140γρ,,"16,80",CONNECTED INGREDIENTS,ΤΥΡΟΚΟΜΙΚΑ,"16,80",,,,,6/4/2025 8:19am,,,,,,,,,
