RECIPENAME,RECIPE NAME,NEW RECIPE NAME,INGREDIENT CODE,IME CODe,INGREDIENT,NEW INGREDIENT NAME,GRAMS,CATEGORY,KG / TMX,COMMENTS,Cost per Kg,costcost,OIK104 MENU,Ingredient (from Ingredient Name),Kg per Recipe,Cost per Recipe,costcosrecipe,OIK104 MENU copy,CATEGORY_,RESTAURANT (from OIK104 MENU),OIK512 MENU INGREDIENTS_,RESTAURANT (from OIK512 MENU_) (from OIK512 MENU INGREDIENTS_)
BIANCO,BIANCO,,,,ΕΛΑΙΟΛΑΔΟ,,70,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,1000,,"5,76","5,76",,ΕΛΑΙΟΛΑΔΟ,"0,07","0,40","0,40",,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,,,
BIANCO,BIANCO,,,,ΚΑΡΟΤΑ,,80,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,1000,,"0,70","0,70",,ΚΑΡΟΤΑ,"0,08","0,06","0,06",,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,,,
BIANCO,BIANCO,,,,ΚΡΕΜΜΥΔΙ,,80,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,1000,,,,,ΚΡΕΜΜΥΔΙ,"0,08","0,00","0,00",,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,,,
BIANCO,BIANCO,,,,ΛΕΜΟΝΙ,,50,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,1000,,"0,75","0,75",,ΛΕΜΟΝΙ,"0,05","0,04","0,04",,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,,,
BIANCO,BIANCO,,,,ΠΑΤΑΤΕΣ,,100,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,1000,,"0,55","0,55",,ΠΑΤΑΤΕΣ,"0,10","0,06","0,06",,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,,,
BIANCO,BIANCO,,,,ΠΙΠΕΡΙ ΜΑΥΡΟ,,10,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,1000,,"14,44","14,44",,ΠΙΠΕΡΙ ΜΑΥΡΟ,"0,01","0,14","0,14",,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,,,
BIANCO,BIANCO,,,,ΣΕΛΙΝΟ,,80,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,1000,,"1,20","1,20",,ΣΕΛΙΝΟ,"0,08","0,10","0,10",,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,,,
BIANCO,BIANCO,,,,ΣΚΟΡΔΑ,,50,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,1000,,"5,50","5,50",,ΣΚΟΡΔΑ,"0,05","0,28","0,28",,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,,,
ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ,ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ,,,,ΑΛΑΤΙ,,10,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,1000,,"0,89","0,89",,ΑΛΑΤΙ,"0,01","0,01","0,01",,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,,,
ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ,ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ,,,,ΑΡΝΙ ΧΕΡΑΚΙ,,2000,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,1000,,"8,98","8,98",,ΑΡΝΙ ΧΕΡΑΚΙ,"2,00","17,96","17,96",,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,,,
ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ,ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ,,,,ΓΑΡΥΦΑΛΟ,,10,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,1000,,"11,75","11,75",,ΓΑΡΥΦΑΛΟ,"0,01","0,12","0,12",,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,,,
ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ,ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ,,,,ΖΑΧΑΡΗ,,50,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,1000,,"0,91","0,91",,ΖΑΧΑΡΗ,"0,05","0,05","0,05",,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,,,
ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ,ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ,,,,ΚΑΝΕΛΛΑ ΤΡΙΜΜΕΝΗ,,5,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,1000,,"12,46","12,46",,ΚΑΝΕΛΛΑ ΤΡΙΜΜΕΝΗ,"0,01","0,06","0,06",,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,,,
ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ,ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ,,,,ΚΡΕΜΜΥΔΙΑ ΞΕΡΑ,,150,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,1000,,"0,60","0,60",,ΚΡΕΜΜΥΔΙΑ ΞΕΡΑ,"0,15","0,09","0,09",,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,,,
ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ,ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ,,,,ΚΡΙΘΑΡΑΚΙ,,1000,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,1000,,"1,15","1,15",,ΚΡΙΘΑΡΑΚΙ,"1,00","1,15","1,15",,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,,,
ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ,ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ,,,,ΜΟΣΧΟΚΑΡΥΔΟ ΤΡΙΜ (0.5/ΤΜΧ),,10,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,1000,,"30,87","30,87",,ΜΟΣΧΟΚΑΡΥΔΟ ΤΡΙΜ (0.5/ΤΜΧ),"0,01","0,31","0,31",,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,,,
ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ,ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ,,,,ΜΠΑΧΑΡΙ,,10,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,1000,,"14,05","14,05",,ΜΠΑΧΑΡΙ,"0,01","0,14","0,14",,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,,,
ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ,ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ,,,,ΠΙΠΕΡΙ ΜΑΥΡΟ,,10,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,1000,,"14,44","14,44",,ΠΙΠΕΡΙ ΜΑΥΡΟ,"0,01","0,14","0,14",,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,,,
ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ,ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ,,,,ΠΟΛΤΟΣ ΤΟΜΑΤΑΣ,,200,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,1000,,"3,01","3,01",,ΠΟΛΤΟΣ ΤΟΜΑΤΑΣ,"0,20","0,60","0,60",,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,,,
ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ,ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ,,,,ΣΚΟΡΔΑ,,50,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,1000,,"5,50","5,50",,ΣΚΟΡΔΑ,"0,05","0,28","0,28",,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,,,
ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ,ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ,,,,ΑΛΑΤΙ,,5,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,1000,,"0,89","0,89",,ΑΛΑΤΙ,"0,01","0,00","0,00",,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,,,
ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ,ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ,,,,ΑΝΙΘΟΣ,,100,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,1000,,"1,63","1,63",,ΑΝΙΘΟΣ,"0,10","0,16","0,16",,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,,,
ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ,ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ,,,,ΑΡΝΙ ΧΕΡΑΚΙ,,2000,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,1000,,"8,98","8,98",,ΑΡΝΙ ΧΕΡΑΚΙ,"2,00","17,96","17,96",,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,,,
ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ,ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ,,,,ΑΥΓΑ,,4,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,1000,,"0,27","0,27",,ΑΥΓΑ,"0,00","0,00","0,00",,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,,,
ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ,ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ,,,,ΓΑΡΥΦΑΛΟ,,10,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,1000,,"11,75","11,75",,ΓΑΡΥΦΑΛΟ,"0,01","0,12","0,12",,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,,,
ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ,ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ,,,,ΕΛΑΙΟΛΑΔΟ,,80,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,1000,,"5,76","5,76",,ΕΛΑΙΟΛΑΔΟ,"0,08","0,46","0,46",,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,,,
ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ,ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ,,,,ΚΡΕΜΜΥΔΙΑ ΞΕΡΑ,,150,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,1000,,"0,60","0,60",,ΚΡΕΜΜΥΔΙΑ ΞΕΡΑ,"0,15","0,09","0,09",,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,,,
ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ,ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ,,,,ΛΕΜΟΝΙ,,100,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,1000,,"0,75","0,75",,ΛΕΜΟΝΙ,"0,10","0,08","0,08",,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,,,
ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ,ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ,,,,ΜΑΡΟΥΛΙΑ,,4,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,1000,,"0,45","0,45",,ΜΑΡΟΥΛΙΑ,"0,00","0,00","0,00",,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,,,
ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ,ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ,,,,ΠΙΠΕΡΙ ΜΑΥΡΟ,,5,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,1000,,"14,44","14,44",,ΠΙΠΕΡΙ ΜΑΥΡΟ,"0,01","0,07","0,07",,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,,,
ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ,ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ,,,,ΣΚΟΡΔΑ,,5,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,1000,,"5,50","5,50",,ΣΚΟΡΔΑ,"0,01","0,03","0,03",,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,,,
ΑΡΝΙ ΚΟΤΣΙ,ΑΡΝΙ ΚΟΤΣΙ,,,,ΑΡΝΙ ΚΟΤΣΙ,,200,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,1000,,"12,63","12,63",,ΑΡΝΙ ΚΟΤΣΙ,"0,20","2,53","2,53",,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,,,
ΑΡΝΙ ΚΟΤΣΙ,ΑΡΝΙ ΚΟΤΣΙ,,,,ΠΑΤΑΤΕΣ,,100,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,1000,,"0,55","0,55",,ΠΑΤΑΤΕΣ,"0,10","0,06","0,06",,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,,,
ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,,,,ΑΛΑΤΙ,,10,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,1000,,"0,89","0,89",,ΑΛΑΤΙ,"0,01","0,01","0,01",,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,,ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,OIK104 & OIK512
ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,,,,ΒΑΣΙΛΙΚΟΣ,,60,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,1000,,"1,40","1,40",,ΒΑΣΙΛΙΚΟΣ,"0,06","0,08","0,08",,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,,ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,OIK104 & OIK512
ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,,,,ΕΛΑΙΟΛΑΔΟ,,100,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,1000,,"5,76","5,76",,ΕΛΑΙΟΛΑΔΟ,"0,10","0,58","0,58",,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,,ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,OIK104 & OIK512
ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,,,,ΖΑΧΑΡΗ,,10,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,1000,,"0,91","0,91",,ΖΑΧΑΡΗ,"0,01","0,01","0,01",,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,,ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,OIK104 & OIK512
ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,,,,ΜΑΙΝΤΑΝΟΣ,,100,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,1000,,"1,50","1,50",,ΜΑΙΝΤΑΝΟΣ,"0,10","0,15","0,15",,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,,ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,OIK104 & OIK512
ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,,,,ΠΑΣΤΑ,,60,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,1000,,"2,06","2,06",,ΠΑΣΤΑ,"0,06","0,12","0,12",,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,,ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,OIK104 & OIK512
ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,,,,ΠΙΠΕΡΙ ΜΑΥΡΟ,,10,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,1000,,"14,44","14,44",,ΠΙΠΕΡΙ ΜΑΥΡΟ,"0,01","0,14","0,14",,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,,ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,OIK104 & OIK512
ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,,,,ΠΙΠΕΡΙΕΣ ΠΡΑΣΙΝΕΣ,,1000,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,1000,,"2,90","2,90",,ΠΙΠΕΡΙΕΣ ΠΡΑΣΙΝΕΣ,"1,00","2,90","2,90",,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,,ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,OIK104 & OIK512
ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,,,,ΡΥΖΙ ΚΑΡΟΛΙΝΑ,,750,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,1000,,"1,30","1,30",,ΡΥΖΙ ΚΑΡΟΛΙΝΑ,"0,75","0,98","0,98",,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,,ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,OIK104 & OIK512
ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,,,,ΣΚΟΡΔΑ,,100,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,1000,,"5,50","5,50",,ΣΚΟΡΔΑ,"0,10","0,55","0,55",,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,,ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,OIK104 & OIK512
ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,,,,ΤΟΜΑΤΕΣ,,1500,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,1000,,"1,30","1,30",,ΤΟΜΑΤΕΣ,"1,50","1,95","1,95",,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,,ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,OIK104 & OIK512
ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,,,,ΤΟΜΑΤΕΣ,,300,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,1000,,"1,30","1,30",,ΤΟΜΑΤΕΣ,"0,30","0,39","0,39",,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,,ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,OIK104 & OIK512
ΜΕΛΙΤΖΑΝΕΣ ΠΑΠΟΥΤΣΑΚΙΑ 1 ΜΕΡΙΔΑ,ΜΕΛΙΤΖΑΝΕΣ ΠΑΠΟΥΤΣΑΚΙΑ 1 ΜΕΡΙΔΑ,,,,ΚΙΜΑΣ,,90,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,1000,,"7,00","7,00",,ΚΙΜΑΣ,"0,09","0,63","0,63",,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,,,
ΜΕΛΙΤΖΑΝΕΣ ΠΑΠΟΥΤΣΑΚΙΑ 1 ΜΕΡΙΔΑ,ΜΕΛΙΤΖΑΝΕΣ ΠΑΠΟΥΤΣΑΚΙΑ 1 ΜΕΡΙΔΑ,,,,ΜΕΛΙΤΖΑΝΕΣ,,200,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,1000,,"1,30","1,30",,ΜΕΛΙΤΖΑΝΕΣ,"0,20","0,26","0,26",,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,,,
ΜΕΛΙΤΖΑΝΕΣ ΠΑΠΟΥΤΣΑΚΙΑ 1 ΜΕΡΙΔΑ,ΜΕΛΙΤΖΑΝΕΣ ΠΑΠΟΥΤΣΑΚΙΑ 1 ΜΕΡΙΔΑ,,,,ΜΠΕΣΑΜΕΛ,,100,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,1000,,,,,ΜΠΕΣΑΜΕΛ,"0,10","0,00","0,00",,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,,,
ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ,ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ,,,,,,40,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,1000,,,,,,"0,04","0,00","0,00",,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,,,
ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ,ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ,,,,ΑΛΑΤΙ,,10,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,1000,,"0,89","0,89",,ΑΛΑΤΙ,"0,01","0,01","0,01",,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,,,
ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ,ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ,,,,ΚΑΝΕΛΛΑ ΞΥΛΟ 500,,10,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,1000,,"11,74","11,74",,ΚΑΝΕΛΛΑ ΞΥΛΟ 500,"0,01","0,12","0,12",,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,,,
ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ,ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ,,,,ΚΙΜΑΣ,,1500,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,1000,,"7,00","7,00",,ΚΙΜΑΣ,"1,50","10,50","10,50",,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,,,
ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ,ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ,,,,ΚΡΕΜΜΥΔΙΑ ΞΕΡΑ,,100,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,1000,,"0,60","0,60",,ΚΡΕΜΜΥΔΙΑ ΞΕΡΑ,"0,10","0,06","0,06",,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,,,
ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ,ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ,,,,ΜΑΙΝΤΑΝΟΣ,,100,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,1000,,"1,50","1,50",,ΜΑΙΝΤΑΝΟΣ,"0,10","0,15","0,15",,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,,,
ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ,ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ,,,,ΜΕΛΙΤΖΑΝΕΣ,,1400,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,1000,,"1,30","1,30",,ΜΕΛΙΤΖΑΝΕΣ,"1,40","1,82","1,82",,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,,,
ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ,ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ,,,,ΜΠΕΣΑΜΕΛ 12 ΜΕΡΙΔΕΣ,,2000,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,1000,,,"0,63",,ΜΠΕΣΑΜΕΛ 12 ΜΕΡΙΔΕΣ,"2,00","0,00","1,27",,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,,,
